source_text,target_text
"Hello, how are you?", "Hola, ¿cómo estás?"
"Good morning!", "¡Buenos días!"
"What is your name?", "¿Cómo te llamas?"
"Thank you very much.", "Muchas gracias."
"You're welcome.", "De nada."
"Excuse me.", "Perdón."
"I don't understand.", "No entiendo."
"Where is the bathroom?", "¿Dónde está el baño?"
"How much does it cost?", "¿Cuánto cuesta?"
"Please speak slowly.", "Por favor, hable más despacio."
"I am from the United States.", "Soy de los Estados Unidos."
"Can you help me?", "¿Puede ayudarme?"
"I need a doctor.", "Necesito un médico."
"What time is it?", "¿Qué hora es?"
"Goodbye!", "¡Adiós!"
