text,label
"This movie was absolutely fantastic!  The acting was superb, and the plot kept me on the edge of my seat.",1
"I was incredibly disappointed with this product.  It broke after only a few uses and the customer service was unhelpful.",0
"The food at this restaurant was amazing.  Every dish was cooked to perfection, and the atmosphere was lovely.",1
"This book was a complete waste of time.  The writing was poor, and the story was boring.",0
"I'm so happy with my new purchase! It is exactly as advertised and it works perfectly.",1
"The service at the hotel was terrible. The staff was rude and inefficient.",0
"What a wonderful experience, thank you for this moment.",1
"Terrible service, I will not recommend it to anyone.",0
"This is the best pizza I have ever eaten.",1
"I had a really bad experience. Very dissapointed.",0
"The store is very clean and organized.",1
"I expected more, this is horrible.",0
"This is exactly what I was looking for.",1
"The item never arrived. Such a scam",0
"I recommend this place. Great service",1
