context,question,answer
"The Amazon rainforest is the world's largest tropical rainforest, covering an area of over 7 million square kilometers.", "What is the Amazon rainforest?", "the world's largest tropical rainforest"
"Mount Everest is the highest mountain above sea level, located in the Himalayas.", "Where is Mount Everest located?", "the Himalayas"
"The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France.", "Where is the Eiffel Tower?", "Paris, France"
"Albert Einstein developed the theory of relativity, one of the two pillars of modern physics.", "Who developed the theory of relativity?", "Albert Einstein"
"The Renaissance was a period in European history marking the transition from the Middle Ages to modernity.", "What period in history was the Renaissance?", "marking the transition from the Middle Ages to modernity"
"The Nile is a major north-flowing river in northeastern Africa, regarded as the longest river in the world.", "What is the Nile?", "a major north-flowing river in northeastern Africa"
"Leonardo da Vinci was an Italian polymath of the High Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor and architect.", "What was Leonardo da Vinci?", "an Italian polymath"
"The Great Wall of China is a series of fortifications made of stone, brick, tamped earth, wood, and other materials, generally built along an east-to-west line across the historical northern borders of China.", "Where is The Great Wall of China?", "across the historical northern borders of China"
"Marie Curie conducted pioneering research on radioactivity. She was the first woman to win a Nobel Prize, the first person and only woman to win the Nobel Prize twice, and the only person to win the Nobel Prize in two different scientific fields.", "What did Marie Curie research?", "radioactivity"
"The United States Declaration of Independence is the statement adopted by the Continental Congress on July 4, 1776, which announced that the thirteen American colonies, then at war with Great Britain, regarded themselves as thirteen newly independent sovereign states, and no longer a part of the British Empire.", "What is the United States Declaration of Independence?", "the statement adopted by the Continental Congress on July 4, 1776"
"Photosynthesis is the process used by plants, algae and some bacteria to convert light energy into chemical energy.", "What is photosynthesis?", "the process used by plants, algae and some bacteria to convert light energy into chemical energy."
"The Pacific Ocean is the largest and deepest of Earth's oceanic divisions.", "Which ocean is the largest and deepest?", "The Pacific Ocean"
"William Shakespeare was an English playwright, poet and actor, widely regarded as the greatest writer in the English language.", "Who was William Shakespeare?", "an English playwright, poet and actor"
"The human heart is a muscular organ about the size of a fist, located just behind and slightly left of the breastbone.", "Where is the human heart located?", "just behind and slightly left of the breastbone"
"Climate change refers to long-term shifts in temperatures and weather patterns.", "What does climate change refer to?", "long-term shifts in temperatures and weather patterns"
